	new_el	N_Z	N	Z	A	el	o	ME_keV	ME_unc_keV	BE_keV	BE_unc_keV	B	Q_keV	Q_unc_keV	mass_micro_u	mass_unc_micro_u	extrapol	mass_prec
0	0.0	1	1	0	1	n		8071.31806	0.00044	0.0	0.0	B-	782.347	0.0004	1008664.9159	0.00047	False	3.0674441923150786
1		-1	0	1	1	H		7288.971064	1.3e-05	0.0	0.0	B-			1007825.031898	1e-05	False	3.2322354107914917
2	0.0	0	1	1	2	H		13135.722895	1.5e-05	1112.2831	0.0002	B-			2014101.777844	1e-05	False	3.259196292728366
3	0.0	1	2	1	3	H		14949.8109	8e-05	2827.2654	0.0003	B-	18.59202	6e-05	3016049.28132	8e-05	False	3.1926526747228667
4		-1	1	2	3	He		14931.21888	6e-05	2572.68044	0.00015	B-	-13736.0	2000.0	3016029.32197	6e-05	False	3.204396208397479
5		-3	0	3	3	Li	-pp	28667.0	2000.0	-2267.0	667.0	B-			3030775.0	2147.0	True	
6	0.0	2	3	1	4	H	-n	24621.129	100.0	1720.4491	25.0	B-	22196.2131	100.0	4026431.867	107.354	False	2.354442867612814
7		0	2	2	4	He		2424.91587	0.00015	7073.9156	0.0002	B-	-22898.274	212.132	4002603.25413	0.00016	False	3.17566732923732
8		-2	1	3	4	Li	-p	25323.19	212.132	1153.7603	53.033	B-			4027185.561	227.733	False	2.2803808357359387
9	0.0	3	4	1	5	H	-nn	32892.447	89.443	1336.3592	17.8885	B-	21661.2131	91.6515	5035311.492	96.02	False	2.385770191516604
10		1	3	2	5	He	-n	11231.234	20.0	5512.1325	4.0	B-	-447.6529	53.8516	5012057.224	21.47	False	2.5145221171263517
11		-1	2	3	5	Li	-p	11678.887	50.0	5266.1325	10.0	B-	-25460.0	2003.0	5012537.8	53.677	False	2.4375064942519407
12		-3	1	4	5	Be	x	37139.0	2003.0	18.0	401.0	B-			5039870.0	2150.0	True	
13	0.0	4	5	1	6	H	-3n	41875.725	254.127	961.6395	42.3545	B-	24283.6294	254.1268	6044955.437	272.816	False	2.303178626303345
14		2	4	2	6	He		17592.095	0.053	4878.5199	0.0089	B-	3505.2147	0.0532	6018885.889	0.057	False	2.916424785787666
15		0	3	3	6	Li		14086.88044	0.00144	5332.3312	0.0003	B-	-4288.1534	5.4478	6015122.88742	0.00155	False	3.094639960263259
16		-2	2	4	6	Be	-	18375.034	5.448	4487.2478	0.908	B-	-28945.0	2003.0	6019726.409	5.848	False	2.627884621482073
17		-4	1	5	6	B	x	47320.0	2003.0	-467.0	334.0	B-			6050800.0	2150.0	True	
18	0.0	5	6	1	7	H	-nn	49135.0	1004.0	940.0	143.0	B-	23062.0	1004.0	7052749.0	1078.0	True	
19		3	5	2	7	He	-n	26073.128	7.559	4123.0578	1.0799	B-	11166.0229	7.5595	7027990.652	8.115	False	2.6153277979095675
20		1	4	3	7	Li		14907.10463	0.00419	5606.4401	0.0006	B-	-861.893	0.0707	7016003.43426	0.0045	False	3.0524614206621687
21		-1	3	4	7	Be		15768.998	0.071	5371.5487	0.0101	B-	-11907.5551	25.1504	7016928.714	0.076	False	2.9091312549287385
22		-3	2	5	7	B	p4n	27676.553	25.15	3558.7055	3.5929	B-			7029712.0	27.0	False	2.5233112792070123
23	0.0	4	6	2	8	He		31609.683	0.089	3924.521	0.0111	B-	10663.8784	0.1005	8033934.388	0.095	False	2.9043329187898275
24		2	5	3	8	Li		20945.805	0.047	5159.7124	0.0059	B-	16004.1329	0.0591	8022486.244	0.05	False	2.938817482374284
25		0	4	4	8	Be	-a	4941.672	0.035	7062.4356	0.0044	B-	-17979.8973	1.0005	8005305.102	0.037	False	2.9545170967452794
