Z,el,A,N,delr2,Deldelr2,R,DelR,DelRrel,R2N,DelR2N,R2Z,DelR2Z
0,n,1,1,,,-0.1149,0.0027,,,,,
1,H,1,0,0.0,0.0,0.8783,0.0086,,,,,
1,,2,1,3.82007,0.00065,2.1421,0.0088,,,,,
1,,3,2,,,1.7591,0.0363,,0.8808000000000001,0.037304825425137696,,
2,He,3,1,1.0590000000000002,0.003,1.9661,0.003,0.0008,,,2.081,0.004036087214122113
2,,4,2,0.0,0.0,1.6755,0.0028,0.0,,,,
2,,6,4,1.466,0.034,2.066,0.0111,0.0082,0.39049999999999985,0.011447707194019247,,
2,,8,6,0.9109999999999999,0.095,1.9239,0.0306,0.0247,-0.1420999999999999,0.032551036849845505,,
3,Li,6,3,0.0,0.0,2.589,0.039,0.0,,,,
3,,7,4,-0.731,0.022000000000000002,2.444,0.042,0.0046,,,,
3,,8,5,-1.23,0.032,2.339,0.044000000000000004,0.006999999999999999,-0.25,0.058796258384356405,,
3,,9,6,-1.663,0.032,2.245,0.046,0.0073,-0.19899999999999984,0.06228964600958974,,
3,,11,8,-0.5429999999999999,0.069,2.4819999999999998,0.043,0.0141,0.23699999999999966,0.06296824596572466,,
4,Be,7,3,0.66,0.05,2.6460000000000004,0.016,0.0094,,,,
4,,9,5,0.0,0.0,2.519,0.012,0.0,-0.12700000000000022,0.02,,
4,,10,6,-0.79,0.08,2.355,0.017,0.017,,,0.43110000000000004,0.0350051424793558
4,,11,7,-0.28,0.05,2.463,0.015,0.0102,-0.05600000000000005,0.019209372712298545,,
5,B,10,5,,,2.4277,0.0499,,,,0.08870000000000022,0.0665282646699882
5,,11,6,,,2.406,0.0294,,,,0.16100000000000003,0.05459267350112101
6,C,12,6,,,2.4702,0.0022,,,,0.11520000000000019,0.017141761869772898
6,,13,7,,,2.4614,0.0034,,,,-0.0016000000000002679,0.015380507143784304
6,,14,8,,,2.5025,0.0087,,0.03229999999999977,0.008973850901368931,,
7,N,14,7,,,2.5582,0.006999999999999999,,,,,
7,,15,8,,,2.6058,0.008,,,,,
8,O,16,8,,,2.6991,0.0052,,,,0.1966000000000001,0.010135580891098447
8,,17,9,,,2.6932,0.0075,,,,,
8,,18,10,,,2.7726,0.0056,,0.07350000000000012,0.00764198926981712,,
9,F,19,10,,,2.8976,0.0025,,,,,
10,Ne,17,7,0.221,0.028999999999999998,3.0413,0.0088,0.0048,,,,
10,,18,8,-0.207,0.015,2.9714,0.0076,0.0025,,,0.2723,0.00920869154657707
10,,19,9,0.017,0.019,3.0082,0.004,0.0032,-0.03310000000000013,0.009666436778875657,0.31499999999999995,0.008499999999999999
10,,20,10,0.0,0.0,3.0055,0.0021,0.0,0.03410000000000002,0.007884795495128582,0.23289999999999988,0.005980802621722271
10,,21,11,-0.217,0.013999999999999999,2.9695,0.0033,0.0023,-0.03869999999999996,0.005185556864985669,,
10,,22,12,-0.322,0.004,2.9525,0.004,0.0034,-0.052999999999999936,0.004517742799230607,,
10,,23,13,-0.5720000000000001,0.034,2.9104,0.0071,0.0057,-0.05909999999999993,0.007829431652425353,,
10,,24,14,-0.628,0.019,2.9007,0.0078,0.0032,-0.05180000000000007,0.00876584280032445,,
10,,25,15,-0.431,0.016,2.9316,0.0088,0.0027,0.021199999999999886,0.01130707742964556,,
10,,26,16,-0.485,0.018000000000000002,2.9251,0.01,0.003,0.024399999999999977,0.012682271089990151,,
10,,28,18,-0.24100000000000002,0.035,2.9642,0.0134,0.0059,0.03909999999999991,0.016720047846821493,,
11,Na,20,9,-0.13,0.07,2.9718,0.042,0.0117,,,,
11,,21,10,0.12,0.05,3.0136,0.0284,0.0083,,,0.11599999999999966,0.02850982286861846
11,,22,11,-0.05,0.04,2.9852,0.0169,0.0067,0.013399999999999856,0.04527261865631367,,
11,,23,12,0.0,0.0,2.9936,0.0021,0.0,-0.020000000000000018,0.028477535005684746,,
11,,24,13,-0.12,0.04,2.9735,0.0169,0.0067,-0.011699999999999822,0.023900209204105304,,
11,,25,14,-0.1,0.03,2.9769,0.0252,0.005,-0.016699999999999715,0.025287348615463823,,
11,,26,15,-0.005,0.018000000000000002,2.9928,0.0331,0.003,0.019299999999999873,0.03716476826242833,,
11,,27,16,0.12,0.04,3.0136,0.0467,0.0067,0.03669999999999973,0.05306533708552128,,
11,,28,17,0.28,0.05,3.04,0.0581,0.0083,0.04720000000000013,0.06686718178598526,,
11,,29,18,0.6,0.08,3.0922,0.0723,0.0132,0.07860000000000023,0.086070784822726,,
11,,30,19,0.76,0.12,3.1180000000000003,0.0884,0.0197,0.07800000000000029,0.10578359986311678,,
11,,31,20,1.09,0.07,3.1704,0.0893,0.0116,0.07819999999999983,0.11489899912531876,,
12,Mg,24,12,,,3.057,0.0016,,,,0.10449999999999982,0.004308131845707603
12,,25,13,,,3.0284,0.0022,,,,0.11799999999999988,0.0074330343736592535
12,,26,14,,,3.0337,0.0018,,-0.023299999999999876,0.002408318915758459,0.133,0.0080049984384758
13,Al,27,14,,,3.0610000000000004,0.0031,,,,0.08410000000000029,0.0253899586451022
14,Si,28,14,,,3.1224,0.0024,,,,0.08869999999999978,0.0029999999999999996
14,,29,15,,,3.1176,0.0052,,,,,
14,,30,16,,,3.1336,0.004,,0.011200000000000099,0.00466476151587624,,
15,P,31,16,,,3.1889,0.0019,,,,,
16,S,32,16,,,3.2611,0.0018,,,,0.12749999999999995,0.004386342439892262
16,,34,18,,,3.2847,0.0021,,0.023600000000000065,0.002765863337187866,,
16,,36,20,,,3.2985,0.0024,,0.013800000000000257,0.0031890437438203945,,
17,Cl,35,18,,,3.3654,0.0191,,,,,
17,,37,20,,,3.384,0.017,,0.018599999999999728,0.025569708641280994,,
18,Ar,32,14,-0.375,0.038,3.3468,0.0062,0.0056,,,,
18,,33,15,-0.395,0.021,3.3438,0.0058,0.0031,,,,
18,,34,16,-0.251,0.006,3.3654,0.004,0.0009,0.018600000000000172,0.007378346698278687,0.10430000000000028,0.004386342439892262
18,,35,17,-0.263,0.026000000000000002,3.3636,0.0042,0.0038,0.01980000000000004,0.007161005515987262,,
18,,36,18,-0.084,0.018000000000000002,3.3905,0.0023,0.0017,0.025099999999999678,0.004614108798023731,0.1057999999999999,0.0031144823004794872
18,,37,19,-0.081,0.009000000000000001,3.3908,0.0022,0.0012,0.027200000000000113,0.004741307836451879,,
18,,38,20,0.0,0.0,3.4028,0.0019,0.0,0.0123000000000002,0.0029832867780352594,0.10429999999999984,0.0030610455730027933
18,,39,21,0.044000000000000004,0.067,3.4093,0.0031,0.0025,0.01849999999999996,0.0038013155617496425,,
18,,40,22,0.16699999999999998,0.009000000000000001,3.4274,0.0026,0.0013,0.024599999999999955,0.0032202484376209236,,
18,,41,23,0.151,0.012,3.4251,0.003,0.0018,0.015800000000000036,0.004313930922024598,,
18,,43,25,0.262,0.012,3.4414,0.0041,0.0018,0.01629999999999976,0.005080354318352216,,
18,,42,24,0.221,0.013999999999999999,3.4354,0.0039,0.002,0.008000000000000007,0.004687216658103186,,
18,,44,26,0.289,0.009000000000000001,3.4454,0.0046,0.0013,0.009999999999999787,0.006030754513325841,,
18,,46,28,0.237,0.022000000000000002,3.4377,0.0044,0.0032,-0.007699999999999818,0.006365532185135819,,
19,K,38,19,-0.057999999999999996,0.040999999999999995,3.4264,0.0051,0.006,,,,
19,,39,20,0.0,0.0,3.4349,0.0019,0.0,,,0.050899999999999945,0.017105846953600398
19,,40,21,0.022000000000000002,0.002,3.4381,0.0028,0.0003,0.011699999999999822,0.005818075283115543,,
19,,41,22,0.11699999999999999,0.006,3.4518,0.0055,0.0009,0.016900000000000137,0.005818934610390462,,
19,,42,23,0.11599999999999999,0.015,3.4517,0.006999999999999999,0.0022,0.013600000000000279,0.007539230729988305,,
19,,43,24,0.14300000000000002,0.009000000000000001,3.4556,0.0086,0.0013,0.0038000000000000256,0.010208329931972222,,
19,,44,25,0.14800000000000002,0.011000000000000001,3.4563,0.0101,0.0016,0.0045999999999999375,0.012288612614937456,,
19,,45,26,0.17600000000000002,0.013000000000000001,3.4605,0.0118,0.0019,0.0049000000000001265,0.014601369798755185,,
19,,46,27,0.14300000000000002,0.012,3.4558,0.0126,0.0017,-0.000500000000000167,0.016148374531202825,,
19,,47,28,0.126,0.013000000000000001,3.4534,0.0138,0.0019,-0.007100000000000328,0.01815709227822561,,
20,Ca,39,19,-0.127,0.016,3.4595,0.0025,0.0023,,,0.06869999999999976,0.0033301651610693427
20,,40,20,0.0,0.0,3.4776,0.0019,0.0,,,0.07479999999999976,0.002687005768508881
20,,41,21,0.003,0.003,3.478,0.0019,0.0004,0.018500000000000405,0.0031400636936215164,0.0687000000000002,0.0036359317925395685
20,,42,22,0.215,0.005,3.5081,0.0021,0.0007,0.030500000000000416,0.002831960451701259,0.08070000000000022,0.0033421549934136807
20,,43,23,0.125,0.003,3.4954,0.0019,0.0005,0.01739999999999986,0.002687005768508881,0.07030000000000003,0.003551056180912941
20,,44,24,0.28300000000000003,0.006,3.5179,0.0021,0.0009,0.009799999999999809,0.0029698484809834993,0.08250000000000002,0.00442944691807002
20,,45,25,0.11900000000000001,0.006,3.4944,0.0021,0.0008,-0.0009999999999998899,0.002831960451701259,0.05300000000000038,0.004606517122512409
20,,46,26,0.124,0.005,3.4953,0.002,0.0007,-0.022600000000000176,0.0029,0.049900000000000055,0.005015974481593781
20,,47,27,0.005,0.001,3.4783,0.0024,0.0002,-0.016100000000000225,0.0031890437438203945,,
20,,48,28,-0.004,0.006,3.4771,0.002,0.0009,-0.018199999999999772,0.00282842712474619,0.0394000000000001,0.004833218389437829
20,,50,30,0.276,0.035,3.5168,0.0064,0.005,0.039699999999999847,0.006705221845696084,,
21,Sc,42,21,0.172,0.031,3.5702,0.0238,0.0044,,,0.13209999999999988,0.023964139876073168
21,,43,22,0.08199999999999999,0.013999999999999999,3.5575,0.0147,0.002,,,0.10570000000000013,0.015695222202950807
21,,44,23,-0.019,0.011000000000000001,3.5432,0.0016,0.0016,-0.02699999999999969,0.023853720883753128,0.09149999999999991,0.007180529228406497
21,,45,24,0.0,0.0,3.5459,0.0025,0.0,-0.011600000000000055,0.014911069713471264,0.09030000000000005,0.00895600357302296
21,,46,25,-0.154,0.008,3.5243,0.0089,0.0011,-0.018899999999999917,0.00904267659490264,0.06800000000000006,0.013461797799699712
22,Ti,44,22,0.14300000000000002,0.037000000000000005,3.6115,0.0051,0.0049,,,0.10339999999999971,0.005515432893255071
22,,45,23,0.013000000000000001,0.017,3.5939,0.0032,0.0024,,,0.09850000000000003,0.003721558813185679
22,,46,24,0.11,0.006999999999999999,3.6069999999999998,0.0022,0.001,-0.0045000000000001705,0.005554277630799527,0.08909999999999973,0.00304138126514911
22,,47,25,0.03,0.004,3.5962,0.0019,0.0006,0.0022999999999999687,0.003721558813185679,0.10179999999999989,0.002831960451701259
22,,48,26,0.0,0.0,3.5921,0.0017,0.0,-0.014899999999999913,0.0027802877548915687,0.0968,0.0026248809496813375
22,,49,27,-0.139,0.009000000000000001,3.5733,0.0021,0.0013,-0.02289999999999992,0.002831960451701259,0.0950000000000002,0.0031890437438203945
22,,50,28,-0.16,0.006999999999999999,3.5704,0.0022,0.001,-0.021700000000000053,0.0027802877548915687,0.09329999999999972,0.0029732137494637013
23,V,51,28,,,3.6002,0.0022,,,,,
24,Cr,50,26,0.099,0.037000000000000005,3.6588,0.0065,0.0051,,,0.06669999999999998,0.00671863081289633
24,,52,28,0.0,0.0,3.6452,0.0042,0.0,-0.013599999999999834,0.007738862965578341,0.0748000000000002,0.004741307836451879
24,,53,29,0.043,0.045,3.6511,0.0075,0.0062,,,,
24,,54,30,0.317,0.045,3.6885,0.0074,0.0061,0.043299999999999894,0.00850881895447306,,
25,Mn,50,25,0.046,0.003,3.7119999999999997,0.0196,0.0004,,,,
25,,51,26,-0.023,0.045,3.7026,0.0212,0.0061,,,,
25,,52,27,-0.259,0.013000000000000001,3.6706,0.0128,0.0018,-0.04139999999999988,0.02340939982143925,,
25,,53,28,-0.292,0.004,3.6662,0.0076,0.0005,-0.03639999999999999,0.022521101216414794,0.06599999999999984,0.007912016177940993
25,,54,29,-0.165,0.006999999999999999,3.6834,0.0049,0.0009,0.012799999999999923,0.013705838172107535,,
25,,55,30,0.0,0.0,3.7057,0.0022,0.0,0.03950000000000031,0.007912016177940993,,
25,,56,31,0.066,0.01,3.7146,0.0052,0.0013,0.031200000000000117,0.0071449282711585,,
26,Fe,54,28,-0.33,0.001,3.6933,0.0019,0.0001,,,0.04809999999999981,0.004609772228646444
26,,56,30,0.0,0.0,3.7377,0.0016,0.0,0.044399999999999995,0.0024839484696748443,0.04919999999999991,0.00757099729229908
26,,57,31,0.10800000000000001,0.001,3.7532,0.0017,0.0001,,,,
26,,58,32,0.27399999999999997,0.002,3.7745,0.0014,0.0003,0.03680000000000039,0.0021260291625469297,,
27,Co,59,32,,,3.7875,0.0021,,,,,
28,Ni,58,30,-0.267,0.005,3.7757,0.002,0.0007,,,0.038000000000000256,0.0025612496949731396
28,,60,32,0.0,0.0,3.8118,0.0016,0.0,0.0360999999999998,0.0025612496949731396,0.03729999999999967,0.0021260291625469297
28,,61,33,0.08199999999999999,0.006999999999999999,3.8225,0.0019,0.001,,,,
28,,62,34,0.21100000000000002,0.006999999999999999,3.8399,0.0021,0.0009,0.028100000000000236,0.002640075756488817,,
