N,Z
42,26
43,26
44,26
45,26
46,26
46,27
46,28
47,27
48,28
49,28
50,28
50,29
50,30
51,29
51,30
52,30
52,31
53,30
53,31
53,32
54,31
54,32
54,33
55,32
55,33
56,32
56,33
56,34
57,33
58,32
58,33
58,34
60,33
60,34
60,35
62,33
62,34
62,35
62,36
64,34
64,35
64,36
64,37
66,35
66,36
66,37
66,38
68,36
68,37
68,38
68,39
68,40
69,39
70,38
70,39
70,40
72,39
72,40
72,41
74,39
74,40
74,41
76,39
76,40
76,41
76,42
78,40
78,41
78,42
80,41
80,42
80,43
80,44
82,42
82,43
82,44
82,45
82,46
82,47
82,48
82,49
83,48
83,49
84,47
84,48
84,49
84,50
86,47
86,48
86,49
86,50
88,48
88,49
88,50
88,51
88,52
89,51
90,50
90,51
90,52
92,51
92,52
94,51
94,52
94,53
96,51
96,52
96,53
96,54
98,52
98,53
98,54
100,52
100,53
100,54
100,55
100,56
102,53
102,54
102,55
102,56
104,54
104,55
104,56
104,57
104,58
106,55
106,56
106,57
106,58
106,59
108,55
108,56
108,57
108,58
108,59
108,60
110,56
110,57
110,58
110,59
110,60
110,61
112,57
112,58
112,59
112,60
112,61
114,57
114,58
114,59
114,60
114,61
114,62
116,58
116,59
116,60
116,61
118,58
118,59
118,60
120,59
120,60
120,61
122,59
122,60
122,61
124,60
124,61
124,62
126,61
126,62
126,63
126,64
126,65
126,66
126,67
126,68
126,69
126,70
126,71
126,72
127,70
128,69
128,70
128,71
128,72
130,70
130,71
130,72
132,70
132,71
132,72
134,70
134,71
134,72
136,70
136,71
136,72
138,70
138,71
138,72
138,73
140,71
140,72
140,73
142,71
142,72
142,73
142,74
144,72
144,73
144,74
144,75
146,73
146,74
146,75
146,76
148,74
148,75
148,76
150,74
150,75
150,76
150,77
150,78
152,76
152,77
152,78
152,79
154,77
154,78
154,79
154,80
156,76
156,77
156,78
156,79
156,80
156,81
158,78
158,79
158,80
158,81
158,82
160,79
160,80
160,81
160,82
162,80
162,81
162,82
164,80
164,81
164,82
164,83
166,80
166,81
166,82
166,83
168,81
168,82
168,83
168,84
170,81
170,82
170,83
170,84
172,81
172,82
172,83
172,84
172,85
174,82
174,83
174,84
174,85
174,86
176,83
176,84
176,85
176,86
178,84
178,85
178,86
180,84
180,85
180,86
182,85
