At.Num.	Sp.Name.	IonCharge	El.name	Isoel.Seq.	GroundShellsa	GroundLevel	IonizedLevel	IonizationEnergy (eV)	Uncertainty (eV)	References
1	HI	0	Hydrogen	H	1s	2S1/2		13.598434599702	0.000000000012	HDEL
2	HeI	0	Helium	He	1s2	1S0	1s2S1/2	24.587389011	0.000000025	L17714
3	LiI	0	Lithium	Li	1s22s	2S1/2	1s21S0	5.391714996	0.000000022	L12261
4	BeI	0	Beryllium	Be	1s22s2	1S0	2s2S1/2	9.322699	0.000007	L5964
5	BI	0	Boron	B	1s22s22p	2P°1/2	2s21S0	8.298019	0.000003	L12312
6	CI	0	Carbon	C	1s22s22p2	3P0	2s22p2P°1/2	11.2602880	0.0000011	L20057
7	NI	0	Nitrogen	N	1s22s22p3	4S°3/2	2p23P0	14.53413	0.00004	L1411
8	OI	0	Oxygen	O	1s22s22p4	3P2	2p34S°3/2	13.618055	0.000007	L74,L3760
9	FI	0	Fluorine	F	1s22s22p5	2P°3/2	2p43P2	17.42282	0.00005	L7481,L526
10	NeI	0	Neon	Ne	1s22s22p6	1S0	2p52P°3/2	21.564541	0.000007	L8826,L1407
11	NaI	0	Sodium	Na	[Ne]3s	2S1/2	2p61S0	5.13907696	0.00000025	L10921,L9648
12	MgI	0	Magnesium	Mg	[Ne]3s2	1S0	3s2S1/2	7.646236	0.000004	L10635,L6969
13	AlI	0	Aluminum	Al	[Ne]3s23p	2P°1/2	3s21S0	5.985769	0.000003	L7215,L10321
14	SiI	0	Silicon	Si	[Ne]3s23p2	3P0	3p2P°1/2	8.15168	0.00003	L5815
15	PI	0	Phosphorus	P	[Ne]3s23p3	4S°3/2	3p23P0	10.486686	0.000015	L5148
16	SI	0	Sulfur	S	[Ne]3s23p4	3P2	3p34S°3/2	10.36001	0.00012	L7237
17	ClI	0	Chlorine	Cl	[Ne]3s23p5	2P°3/2	3p43P2	12.967633	0.000016	L19191
18	ArI	0	Argon	Ar	[Ne]3s23p6	1S0	3p52P°3/2	15.7596119	0.0000005	L9217
19	KI	0	Potassium	K	[Ar]4s	2S1/2	3p61S0	4.34066373	0.00000009	L5451,L5783,L7185
20	CaI	0	Calcium	Ca	[Ar]4s2	1S0	4s2S1/2	6.11315547	0.00000025	L8900
21	ScI	0	Scandium	Sc	[Ar]3d4s2	2D3/2	3d4s3D1	6.56149	0.00006	L7185,L2110
22	TiI	0	Titanium	Ti	[Ar]3d24s2	3F2	3d24s4F3/2	6.828120	0.000012	L17996
23	VI	0	Vanadium	V	[Ar]3d34s2	4F3/2	3d45D0	6.746187	0.000021	L17712,L20010
24	CrI	0	Chromium	Cr	[Ar]3d54s	7S3	3d56S5/2	6.76651	0.00004	L7185,L2832
25	MnI	0	Manganese	Mn	[Ar]3d54s2	6S5/2	3d54s7S3	7.4340380	0.0000012	L19057
26	FeI	0	Iron	Fe	[Ar]3d64s2	5D4	3d64s6D9/2	7.9024681	0.0000012	L7743c109
27	CoI	0	Cobalt	Co	[Ar]3d74s2	4F9/2	3d83F4	7.88101	0.00012	L10545
28	NiI	0	Nickel	Ni	[Ar]3d84s2	3F4	3d92D5/2	7.639878	0.000017	L12369
29	CuI	0	Copper	Cu	[Ar]3d104s	2S1/2	3d101S0	7.726380	0.000004	L14897
30	ZnI	0	Zinc	Zn	[Ar]3d104s2	1S0	4s2S1/2	9.394197	0.000006	L13951
31	GaI	0	Gallium	Ga	[Ar]3d104s24p	2P°1/2	4s21S0	5.9993020	0.0000012	L5566
32	GeI	0	Germanium	Ge	[Ar]3d104s24p2	3P0	4p2P°1/2	7.899435	0.000012	L3935,L12369
33	AsI	0	Arsenic	As	[Ar]3d104s24p3	4S°3/2	4p23P0	9.78855	0.00025	L1351
34	SeI	0	Selenium	Se	[Ar]3d104s24p4	3P2	4p34S°3/2	9.752368	0.000006	L21645
35	BrI	0	Bromine	Br	[Ar]3d104s24p5	2P°3/2	4p43P2	11.81381	0.00006	L351,L67
36	KrI	0	Krypton	Kr	[Ar]3d104s24p6	1S0	4p52P°3/2	13.9996055	0.0000020	L12196
37	RbI	0	Rubidium	Rb	[Kr]5s	2S1/2	4p61S0	4.1771281	0.0000012	L4740,L5783
38	SrI	0	Strontium	Sr	[Kr]5s2	1S0	5s2S1/2	5.69486745	0.00000012	L15350,L5644
39	YI	0	Yttrium	Y	[Kr]4d5s2	2D3/2	5s21S0	6.21726	0.00010	L8844,L2111,L9735
40	ZrI	0	Zirconium	Zr	[Kr]4d25s2	3F2	4d25s4F3/2	6.634126	0.000005	L21107
41	NbI	0	Niobium	Nb	[Kr]4d45s	6D1/2	4d45D0	6.75885	0.00004	L6829
42	MoI	0	Molybdenum	Mo	[Kr]4d55s	7S3	4d56S5/2	7.09243	0.00004	L6829
43	TcI	0	Technetium	Tc	[Kr]4d55s2	6S5/2	4d55s7S3	7.11938	0.00003	L15237
44	RuI	0	Ruthenium	Ru	[Kr]4d75s	5F5	4d74F9/2	7.36050	0.00005	L10032
45	RhI	0	Rhodium	Rh	[Kr]4d85s	4F9/2	4d83F4	7.45890	0.00005	L10032
46	PdI	0	Palladium	Pd	[Kr]4d10	1S0	4d92D5/2	8.336839	0.000010	L20363
47	AgI	0	Silver	Ag	[Kr]4d105s	2S1/2	4d101S0	7.576234	0.000025	L11835
48	CdI	0	Cadmium	Cd	[Kr]4d105s2	1S0	5s2S1/2	8.993820	0.000016	L18843
49	InI	0	Indium	In	[Cd]5p	2P°1/2	5s21S0	5.7863558	0.0000005	L21649
50	SnI	0	Tin	Sn	[Cd]5p2	3P0	5s25p2P°1/2	7.343918	0.000012	L3936
51	SbI	0	Antimony	Sb	[Cd]5p3	4S°3/2	5s25p23P0	8.608389	0.000012	L8844,L6684
52	TeI	0	Tellurium	Te	[Cd]5p4	3P2	5s25p34S°3/2	9.009808	0.000006	L21109
53	II	0	Iodine	I	[Cd]5p5	2P°3/2	5s25p43P2	10.451236	0.000025	L13998,L22518
54	XeI	0	Xenon	Xe	[Cd]5p6	1S0	5s25p52P°3/2	12.1298437	0.0000015	L12013,L9794,L6426
55	CsI	0	Cesium	Cs	[Xe]6s	2S1/2	5s25p61S0	3.89390572743	0.00000000017	L19479
56	BaI	0	Barium	Ba	[Xe]6s2	1S0	5s25p66s2S1/2	5.2116646	0.0000012	L6347,L9224
57	LaI	0	Lanthanum	La	[Xe]5d6s2	2D3/2	5s25p65d23F2	5.5769	0.0006	L3974,L16228
58	CeI	0	Cerium	Ce	[Xe]4f5d6s2	1G°4	4f5s25p65d24H°7/2	5.5386	0.0004	L4277
59	PrI	0	Praseodymium	Pr	[Xe]4f36s2	4I°9/2	4f3(4I°)6s(9/2,1/2)°4	5.4702	0.0004	L19006
60	NdI	0	Neodymium	Nd	[Xe]4f46s2	5I4	4f45s25p66s6I°7/2	5.5250	0.0006	L4277
61	PmI	0	Promethium	Pm	[Xe]4f56s2	6H°5/2	4f55s25p66s7H°2	5.58187	0.00004	L20992
62	SmI	0	Samarium	Sm	[Xe]4f66s2	7F0	4f65s25p66s8F1/2	5.643722	0.000021	L21624
63	EuI	0	Europium	Eu	[Xe]4f76s2	8S°7/2	4f75p66s9S°4	5.670385	0.000005	L13382
64	GdI	0	Gadolinium	Gd	[Xe]4f75d6s2	9D°2	4f75d6s10D°5/2	6.14980	0.00004	L11798
65	TbI	0	Terbium	Tb	[Xe]4f96s2	6H°15/2	4f9(6H°)5p66s(15/2,1/2)°8	5.8638	0.0006	L4277
66	DyI	0	Dysprosium	Dy	[Xe]4f106s2	5I8	4f10(5I8)6s1/2(8,1/2)17/2	5.939061	0.000006	L22122
67	HoI	0	Holmium	Ho	[Xe]4f116s2	4I°15/2	4f11(4I°)5p66s(15/2,1/2)°8	6.0215	0.0006	L4277
68	ErI	0	Erbium	Er	[Xe]4f126s2	3H6	4f12(3H)5p66s(6,1/2)13/2	6.1077	0.0010	L4277
69	TmI	0	Thulium	Tm	[Xe]4f136s2	2F°7/2	4f136s(7/2,1/2)°4	6.184402	0.000009	L22274
70	YbI	0	Ytterbium	Yb	[Xe]4f146s2	1S0	6s2S1/2	6.254160	0.000012	L4980
71	LuI	0	Lutetium	Lu	[Xe]4f145d6s2	2D3/2	6s21S0	5.425871	0.000012	L10494,L1638
72	HfI	0	Hafnium	Hf	[Xe]4f145d26s2	3F2	5d6s22D3/2	6.825070	0.000012	L14027,L10033
73	TaI	0	Tantalum	Ta	[Xe]4f145d36s2	4F3/2	5d36s5F1	7.549571	0.000025	L13153
74	WI	0	Tungsten	W	[Xe]4f145d46s2	5D0	5d46s6D1/2	7.86403	0.00010	L11604
75	ReI	0	Rhenium	Re	[Xe]4f145d56s2	6S5/2	5d56s7S3	7.83352	0.00011	L11604
76	OsI	0	Osmium	Os	[Xe]4f145d66s2	5D4	5d66s6D9/2	8.43823	0.00020	L8105
77	IrI	0	Iridium	Ir	[Xe]4f145d76s2	4F9/2	5d76s5F5	8.96702	0.00022	L8105
78	PtI	0	Platinum	Pt	[Xe]4f145d96s	3D3	5d92D5/2	8.95883	0.00010	L9735,L11689
79	AuI	0	Gold	Au	[Xe]4f145d106s	2S1/2	5d101S0	9.225554	0.000004	L12088
80	HgI	0	Mercury	Hg	[Xe]4f145d106s2	1S0	6s2S1/2	10.437504	0.000006	L11931,L11984
81	TlI	0	Thallium	Tl	[Hg]6p	2P°1/2	6s21S0	6.1082873	0.0000012	L16353
82	PbI	0	Lead	Pb	[Hg]6p2	(1/2,1/2)0	6p2P°1/2	7.4166799	0.0000006	L11569
83	BiI	0	Bismuth	Bi	[Hg]6p3	4S°3/2	6p23P0	7.285516	0.000006	L10664,L6247
84	PoI	0	Polonium	Po	[Hg]6p4	3P2	6p34S°3/2	8.418070	0.000004	L20887,L20886
85	AtI	0	Astatine	At	[Hg]6p5	2P°3/2	6p43P2	9.31751	0.00008	L18394
86	RnI	0	Radon	Rn	[Hg]6p6	1S0	6p52P°3/2	10.74850		L272,L7432
87	FrI	0	Francium	Fr	[Rn]7s	2S1/2	6p61S0	4.0727411	0.0000011	L10714
88	RaI	0	Radium	Ra	[Rn]7s2	1S0	6p67s2S1/2	5.2784239	0.0000025	L4979
89	AcI	0	Actinium	Ac	[Rn]6d7s2	2D3/2	6p67s21S0	5.380235	0.000012	L22136,L17893
90	ThI	0	Thorium	Th	[Rn]6d27s2	3F2	6d7s22D3/2	6.30670	0.00025	L15992
91	PaI	0	Protactinium	Pa	[Rn]5f26d7s2	4K11/2	5f27s23H4	5.89	0.12	L16359
