el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
1 n,1,0,,8071.3181,0.0004,,,,609.8,s,0.6,1/2+*,,6.0,,1932,B-=100,False,0,1,4.294176409284926e-10,,
1H,1,10,,7288.971064,1.3e-05,,,,stbl,,,1/2+*,,6.0,,1920,IS=99.9855 78,False,1,0,1.396373334948402e-11,,
2H,2,10,,13135.722895,1.5e-05,,,,stbl,,,1+*,,3.0,,1932,IS=0.0145 78,False,1,1,8.044181710098656e-12,,
3H,3,10,,14949.8109,8e-05,,,,12.32,y,0.02,1/2+*,,0.0,,1934,B-=100,False,1,2,2.8546418663563203e-11,,
3He,3,20,,14931.21888,6e-05,,,,stbl,,,1/2+*,,98.0,,1934,IS=0.0002 2,False,2,1,2.1419557023603726e-11,,
3Li,3,30,,,0.0,,,,p-unst,,,3/2-.0,,98.0,,9999,p ?,False,3,0,,,
4H,4,10,,24620.0,100.0,,,,139,ys,10,2-,,98.0,,1981,n=100,False,1,3,2.6792783156883518e-05,,
4He,4,20,,2424.91587,0.00015,,,,stbl,,,0+,,98.0,,1908,IS=99.9998 2,False,2,2,3.9965362271075834e-11,,
4Li,4,30,,25320.0,210.0,,,,91,ys,9,2-,,98.0,,1965,p=100,False,3,1,5.6314434498285865e-05,,
5H,5,10,,32890.0,90.0,,,,86,ys,6,(1/2+),,19.0,,1987,2n=100,False,1,4,1.929821496536997e-05,,
5He,5,20,,11231.0,20.0,,,,602,ys,22,3/2-,,2.0,,1937,n=100,False,2,3,4.269846221542216e-06,,
5Li,5,30,,11680.0,50.0,,,,370,ys,30,3/2-,,2.0,,1941,p=100,False,3,2,1.0678587716846439e-05,,
5Be,5,40,,,0.0,,,,p-unst,,,1/2+.0,,18.0,,9999,p ?,False,4,1,,,
6H,6,10,,41880.0,250.0,,,,294,ys,67,2-.0,,19.0,,1984,n ?;3n ?,False,1,5,4.468898902154679e-05,,
6He,6,20,,17592.1,0.05,,,,806.92,ms,0.24,0+,,2.0,,1936,B-=100;B-d=0.000278 18,False,2,4,8.901210128460902e-09,5.40e+7,17.80449460452855
6Li,6,30,,14086.8804,0.0014,,,,stbl,,,1+*,,2.0,,1921,IS=4.85 171,False,3,3,2.491357815342271e-10,,
