n,z,quadrupoleDeformation
4,6,0.8245208442325224
6,6,0.5766011241025145
8,6,0.35938449933886535
12,6,0.30007532898622796
14,6,0.4030107603976364
8,8,0.3530419112408761
10,8,0.3654982593984814
12,8,0.2680625586980177
14,8,0.2127736950219097
8,10,0.6787226929862649
10,10,0.7204376103424616
12,10,0.5662896099221271
14,10,0.41406563947473696
16,10,0.39333022060907846
18,10,0.3619249683709817
20,10,0.4922911820109733
10,12,0.66864211487644
12,12,0.6130902153780089
14,12,0.48392864178100836
16,12,0.4842540467287522
18,12,0.4072312995526002
20,12,0.5137227766065029
22,12,0.54886425370416
24,12,0.5057390918828408
12,14,0.4383293962979492
14,14,0.4119238440863826
16,14,0.33035682861535004
18,14,0.23638817797184586
20,14,0.18210563173292946
22,14,0.2530190962646708
24,14,0.2411821979472741
12,16,0.265969502032115
14,16,0.3489930458442608
16,16,0.3140405116935997
18,16,0.24745597434901148
20,16,0.1566899813346762
22,16,0.2463300702331373
24,16,0.2821018095776337
26,16,0.29939389451218146
28,16,0.24594668974037598
14,18,0.26398329030990636
16,18,0.22931431998584081
18,18,0.2525820991881145
20,18,0.16245943033601715
22,18,0.2656724315435241
24,18,0.2723298742657162
26,18,0.2204561153102763
28,18,0.1700068617805568
30,18,0.2243317294414632
18,20,0.12227150352474402
20,20,0.1173647726029395
22,20,0.24480405944243813
24,20,0.26183038735868197
26,20,0.1510855241039319
28,20,0.10732916441942297
30,20,0.06543414463141847
20,22,0.29117903422999425
22,22,0.2625137376392657
24,22,0.3184180688793285
26,22,0.2616182461643986
28,22,0.16826681562719456
30,22,0.2354564132641877
32,22,0.1750086290511885
22,24,0.2874099242549902
24,24,0.3516350028202139
26,24,0.29025984532050986
28,24,0.2123178960250525
30,24,0.25050069353913645
34,24,0.24436789305787857
36,24,0.26354631691692626
40,24,0.2874007863263518
24,26,0.3087769975284176
26,26,0.22996118728229273
28,26,0.20302967301764566
30,26,0.2500758068861815
32,26,0.2623192650961038
34,26,0.22420105181998562
36,26,0.22887596971670515
38,26,0.2963091812837631
26,28,0.1792287626794987
28,28,0.12700389496433126
30,28,0.17908271247635532
32,28,0.20515146783605695
34,28,0.19657379806022357
36,28,0.15770972664380445
38,28,0.15610071453391317
40,28,0.10092697577169756
42,28,0.1791464496721875
46,28,0.1400488555102139
32,30,0.2164463602197906
34,30,0.23637648636839634
36,30,0.22124791848055803
38,30,0.2024647151957993
40,30,0.21569630644880097
42,30,0.23127917364327089
44,30,0.24336449784220351
48,30,0.14613811182149355
50,30,0.14166100872957407
32,32,0.25863011683684545
34,32,0.17176898463627835
36,32,0.19344721148980787
38,32,0.22569876363166447
40,32,0.24020300167293981
42,32,0.20089737698159923
44,32,0.18784930348872075
46,32,0.23875409164838937
48,32,0.1822899689519652
50,32,0.17159189470922118
34,34,0.24228720717536256
36,34,0.20686772000789677
38,34,0.22683476021306237
40,34,0.30226111345213635
42,34,0.21876213794441224
44,34,0.2699710732247377
46,34,0.2317239659690327
48,34,0.19416389183417723
